iter	Passed	Remaining
0	0	84
1	1	76
2	2	73
3	2	67
4	3	70
5	4	68
6	5	68
7	5	67
8	6	65
9	7	63
10	7	62
11	8	61
12	9	60
13	9	59
14	10	58
15	11	57
16	11	56
17	12	56
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	45
32	22	44
33	22	43
34	23	43
35	23	42
36	24	42
37	25	41
38	25	40
39	26	39
40	27	39
41	27	38
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	31
53	35	30
54	36	29
55	36	28
56	37	28
57	38	27
58	38	26
59	39	26
60	40	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	19
71	47	18
72	48	17
73	48	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
